amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
,affordable-housing,B/18/0328-da,B/18/0328-da-AFH,,2020-06-23,2020-06-10,4,
,education,B/18/0328-da,B/18/0328-da-EDU,,2020-06-23,2020-06-10,,
,affordable-housing,B/16/0372-da,B/16/0372-da-AFH,2020-03-18,2019-07-16,2019-05-21,8,
,affordable-housing,B/19/0002-da,B/19/0002-da-AFH,,2019-07-25,2019-07-18,18,
,affordable-housing,B/16/0372/CD3-da,B/16/0372/CD3-da-AFH,,2019-09-12,2019-09-05,,
,affordable-housing,B/19/0169-da,B/19/0169-da-AFH,,2020-10-19,2019-09-27,25,
,affordable-housing,B/16/0137-da,B/16/0137-da-AFH,,2019-09-26,2019-12-04,37,
,affordable-housing,B/18/0435-da,B/18/0435-da-AFH,,2020-03-16,2020-03-10,10,
,affordable-housing,B/12/0171 & B/16/0372-da6,B/12/0171 & B/16/0372-da6-AFH,,2020-06-30,2020-03-18,16,
,affordable-housing,B/19/0288/CD2-da,B/19/0288/CD2-da-AFH,,2020-12-02,2020-02-21,26,
