amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
1E+4,highways,S106-103,S106-103-C1,,2020-12-22,2005-09-02,,
57366,open-space-and-leisure,S106-103,S106-103-C2,,2020-12-22,2005-09-02,,
1.75E+5,highways,S106-107,S106-107-C1,,2020-12-22,2005-12-14,,
1.6E+4,highways,S106-110,S106-110-C1,,2020-12-22,2006-06-23,,
53734.2,open-space-and-leisure,S106-110,S106-110-C2,,2020-12-22,2006-06-23,,
431815.8,open-space-and-leisure,S106-139,S106-139-C1,,2020-12-22,2009-11-23,,
5.9E+5,highways,S106-139,S106-139-C2,,2020-12-22,2009-11-23,,
14693.75,open-space-and-leisure,S106-149,S106-149-C1,,2020-12-22,2000-05-15,,
1E+3,open-space-and-leisure,S106-150,S106-150-C1,,2020-12-22,2010-11-02,,
127986.03,open-space-and-leisure,S106-152,S106-152-C1,,2020-12-22,2010-12-06,,
13065,highways,S106-152,S106-152-C2,,2020-12-22,2010-12-06,,
192993.37,open-space-and-leisure,S106-153,S106-153-C1,,2020-12-22,2010-12-09,,
25353,highways,S106-153,S106-153-C2,,2020-12-22,2010-12-09,,
24768.6,open-space-and-leisure,S106-154,S106-154-C1,,2020-12-22,2010-12-21,,
1.5E+5,economic-development,S106-155,S106-155-C1,,2020-12-22,2011-02-02,,
4.5E+5,highways,S106-155,S106-155-C2,,2020-12-22,2011-02-02,,
,other,S106-162,S106-162-C1,,2020-12-22,2011-01-05,,
4.654E+4,open-space-and-leisure,S106-165,S106-165-C1,,2020-12-22,2012-06-15,,
14693.73,open-space-and-leisure,S106-172,S106-172-C1,,2020-12-22,2012-06-15,,
57222.13,open-space-and-leisure,S106-177,S106-177-C1,,2020-12-22,2012-11-14,,
71710.43,open-space-and-leisure,S106-186,S106-186-C1,,2020-12-22,2013-04-16,,
28812,highways,S106-187,S106-187-C1,,2020-12-22,2013-05-08,,
136219,open-space-and-leisure,S106-187,S106-187-C2,,2020-12-22,2013-05-08,,
136219,open-space-and-leisure,S106-187,S106-187-C3,,2020-12-22,2013-05-08,,
411015.4,open-space-and-leisure,S106-191,S106-191-C1,,2020-12-22,2013-08-12,,
2.5E+4,highways,S106-191,S106-191-C2,,2020-12-22,2013-08-12,,
1.4335E+5,flood-and-water-management,S106-191,S106-191-C3,,2020-12-22,2013-08-12,,
9176.47,open-space-and-leisure,S106-194,S106-194-C1,,2020-12-22,2013-10-17,,
7614.52,open-space-and-leisure,S106-195,S106-195-C1,,2020-12-22,2013-10-15,,
1.5E+4,economic-development,S106-195,S106-195-C2,,2020-12-22,2013-10-15,,
24492.56,open-space-and-leisure,S106-197,S106-197-C1,,2020-12-22,2013-10-14,,
