amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,start-date,units,slug
176459.8,affordable-housing,19/00585/FULM-S106,19/00585/FULM-AH,,2020-12-01,2019-06-20,,
62121.86,community-facilities,19/00585/FULM-S106,19/00585/FULM-CF,,2020-12-01,2019-06-20,,
272979.42,education,19/00585/FULM-S106,19/00585/FULM-ED,,2020-12-01,2019-06-20,,
5139.27,other,19/00585/FULM-S106,19/00585/FULM-LI,,2020-12-01,2019-06-20,,
53247.79,open-space-and-leisure,19/00585/FULM-S106,19/00585/FULM-OS,,2020-12-01,2019-06-20,,
4095,open-space-and-leisure,14/00161/FULM-S106,14/00161/FULM-OS,,2020-12-01,2019-11-29,,
13840.7,community-facilities,18/01898/OUTM-S106,18/01898/OUTM-CF,,2020-12-01,2020-01-30,,
19585.6,open-space-and-leisure,18/01898/OUTM-S106,18/01898/OUTM-OS,,2020-12-01,2020-01-30,,
205.32,green-infrastructure,18/01898/OUTM-S106,18/01898/OUTM-GI,,2020-12-01,2020-01-30,,
,open-space-and-leisure,14/00161/FULM-S106,14/00161/FULM-OS,,2021-02-12,2018-01-24,5,
,open-space-and-leisure,14/00161/FULM-S106,14/00161/FULM-OS,,2021-02-12,2019-11-29,1,
