amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
46375.04,community-infrastructure-levy,18/01395/FUL_CIL,18/01395/FUL_CIL_59,,2020-04-06,local-authority-eng:GLO,2019-08-08,,/developer-agreement-contribution/local-authority-eng/GLO/18-01395-FUL-CIL-59
8695.32,neighbourhood-community-infrastructure-levy,18/01395/FUL_CIL,18/01395/FUL_CIL_59A,,2020-04-06,local-authority-eng:GLO,2019-08-08,,/developer-agreement-contribution/local-authority-eng/GLO/18-01395-FUL-CIL-59A
2898.44,community-infrastructure-levy,18/01395/FUL_CIL,18/01395/FUL_CIL_61,,2020-04-06,local-authority-eng:GLO,2019-08-08,,/developer-agreement-contribution/local-authority-eng/GLO/18-01395-FUL-CIL-61
380664,community-infrastructure-levy,18/00306/FUL_CIL,18/00306/FUL_CIL_59,,2020-04-06,local-authority-eng:GLO,2020-04-27,,/developer-agreement-contribution/local-authority-eng/GLO/18-00306-FUL-CIL-59
71374.5,neighbourhood-community-infrastructure-levy,18/00306/FUL_CIL,18/00306/FUL_CIL_59A,,2020-04-06,local-authority-eng:GLO,2020-04-27,,/developer-agreement-contribution/local-authority-eng/GLO/18-00306-FUL-CIL-59A
23791.5,community-infrastructure-levy,18/00306/FUL_CIL,18/00306/FUL_CIL_61,,2020-04-06,local-authority-eng:GLO,2020-04-27,,/developer-agreement-contribution/local-authority-eng/GLO/18-00306-FUL-CIL-61
2193463.04,open-space-and-leisure,18/00306/FUL_S106,18/00306/FUL_S106_OSL,,2020-04-06,local-authority-eng:GLO,2019-09-26,,/developer-agreement-contribution/local-authority-eng/GLO/18-00306-FUL-S106-OSL
,affordable-housing,18/00306/FUL_S106,18/00306/FUL_S106_AH,,2020-04-06,local-authority-eng:GLO,2019-09-26,20,/developer-agreement-contribution/local-authority-eng/GLO/18-00306-FUL-S106-AH
156409.32,other,18/01127/FUL_DOV,18/01127/FUL_DOV_OTH,,2020-04-06,local-authority-eng:GLO,2019-06-14,,/developer-agreement-contribution/local-authority-eng/GLO/18-01127-FUL-DOV-OTH
,affordable-housing,17/01199/OUT_S106,17/01199/OUT_S106_AH,,2020-04-06,local-authority-eng:GLO,2019-06-14,16,/developer-agreement-contribution/local-authority-eng/GLO/17-01199-OUT-S106-AH
5E+4,open-space-and-leisure,17/01199/OUT_S106,17/01199/OUT_S106_OSL,,2020-04-06,local-authority-eng:GLO,2019-09-05,,/developer-agreement-contribution/local-authority-eng/GLO/17-01199-OUT-S106-OSL
